episode,thumb,title,person,episode
441,https://lexfridman.com/files/thumbs_ai_podcast/cenk_uygur.png,"Trump vs Harris, Progressive Politics, Communism & Capitalism",Cenk Uygur,https://lexfridman.com/cenk-uygur
440,https://lexfridman.com/files/thumbs_ai_podcast/pieter_levels.png,"Programming, Viral AI Startups, and Digital Nomad Life",Pieter Levels,https://lexfridman.com/pieter-levels
439,https://lexfridman.com/files/thumbs_ai_podcast/craig_jones_2.png,"Jiu Jitsu, $2 Million Prize, CJI, ADCC, Ukraine & Trolling",Craig Jones,https://lexfridman.com/craig-jones-2
438,https://lexfridman.com/files/thumbs_ai_podcast/elon_musk_and_neuralink_team.png,Neuralink and the Future of Humanity,Elon Musk and Neuralink Team,https://lexfridman.com/elon-musk-and-neuralink-team
437,https://lexfridman.com/files/thumbs_ai_podcast/jordan_jonas.png,"Survival, Hunting, Siberia, God, and Winning Alone Season 6",Jordan Jonas,https://lexfridman.com/jordan-jonas
436,https://lexfridman.com/files/thumbs_ai_podcast/ivanka_trump.png,"Politics, Family, Real Estate, Fashion, Music, and Life",Ivanka Trump,https://lexfridman.com/ivanka-trump
435,https://lexfridman.com/files/thumbs_ai_podcast/andrew_huberman_5.png,"Focus, Controversy, Politics, and Relationships",Andrew Huberman,https://lexfridman.com/andrew-huberman-5
434,https://lexfridman.com/files/thumbs_ai_podcast/aravind_srinivas.png,"Perplexity CEO on Future of AI, Search & the Internet",Aravind Srinivas,https://lexfridman.com/aravind-srinivas
433,https://lexfridman.com/files/thumbs_ai_podcast/sara_walker_3.png,"Physics of Life, Time, Complexity, and Aliens",Sara Walker,https://lexfridman.com/sara-walker-3
432,https://lexfridman.com/files/thumbs_ai_podcast/kevin_spacey.png,"Power, Controversy, Betrayal, Truth & Love in Film and Life",Kevin Spacey,https://lexfridman.com/kevin-spacey
431,https://lexfridman.com/files/thumbs_ai_podcast/roman_yampolskiy.png,Dangers of Superintelligent AI,Roman Yampolskiy,https://lexfridman.com/roman-yampolskiy
430,https://lexfridman.com/files/thumbs_ai_podcast/charan_ranganath.png,"Human Memory, Imagination, Deja Vu, and False Memories",Charan Ranganath,https://lexfridman.com/charan-ranganath
429,https://lexfridman.com/files/thumbs_ai_podcast/paul_rosolie_2.png,"Jungle, Apex Predators, Aliens, Uncontacted Tribes, and God",Paul Rosolie,https://lexfridman.com/paul-rosolie-2
428,https://lexfridman.com/files/thumbs_ai_podcast/sean_carroll_3.png,"General Relativity, Quantum Mechanics, Black Holes & Aliens",Sean Carroll,https://lexfridman.com/sean-carroll-3
427,https://lexfridman.com/files/thumbs_ai_podcast/neil_adams.png,"Judo, Olympics, Winning, Losing, and the Champion Mindset",Neil Adams,https://lexfridman.com/neil-adams
426,https://lexfridman.com/files/thumbs_ai_podcast/edward_gibson.png,"Human Language, Psycholinguistics, Syntax, Grammar & LLMs",Edward Gibson,https://lexfridman.com/edward-gibson
425,https://lexfridman.com/files/thumbs_ai_podcast/andrew_callaghan.png,"Channel 5, Gonzo, QAnon, O-Block, Politics & Alex Jones",Andrew Callaghan,https://lexfridman.com/andrew-callaghan
424,https://lexfridman.com/files/thumbs_ai_podcast/bassem_youssef.png,"Israel-Palestine, Gaza, Hamas, Middle East, Satire & Fame",Bassem Youssef,https://lexfridman.com/bassem-youssef
423,https://lexfridman.com/files/thumbs_ai_podcast/tulsi_gabbard.png,"War, Politics, and the Military Industrial Complex",Tulsi Gabbard,https://lexfridman.com/tulsi-gabbard
422,https://lexfridman.com/files/thumbs_ai_podcast/mark_cuban.png,"Shark Tank, DEI & Wokeism Debate, Elon Musk, Politics & Drugs",Mark Cuban,https://lexfridman.com/mark-cuban
421,https://lexfridman.com/files/thumbs_ai_podcast/dana_white.png,"UFC, Fighting, Khabib, Conor, Tyson, Ali, Rogan, Elon & Zuck",Dana White,https://lexfridman.com/dana-white
420,https://lexfridman.com/files/thumbs_ai_podcast/annie_jacobsen.png,"Nuclear War, CIA, KGB, Aliens, Area 51, Roswell & Secrecy",Annie Jacobsen,https://lexfridman.com/annie-jacobsen
419,https://lexfridman.com/files/thumbs_ai_podcast/sam_altman_2.png,"OpenAI, GPT-5, Sora, Board Saga, Elon Musk, Ilya, Power & AGI",Sam Altman,https://lexfridman.com/sam-altman-2
418,https://lexfridman.com/files/thumbs_ai_podcast/israel_palestine_debate.png,"Finkelstein, Destiny, M. Rabbani & Benny Morris",Israel-Palestine Debate,https://lexfridman.com/israel-palestine-debate
417,https://lexfridman.com/files/thumbs_ai_podcast/kimbal_musk.png,"The Art of Cooking, Tesla, SpaceX, Zip2, and Family",Kimbal Musk,https://lexfridman.com/kimbal-musk
416,https://lexfridman.com/files/thumbs_ai_podcast/yann_lecun_3.png,"Meta AI, Open Source, Limits of LLMs, AGI & the Future of AI",Yann LeCun,https://lexfridman.com/yann-lecun-3
415,https://lexfridman.com/files/thumbs_ai_podcast/serhii_plokhy.png,"History of Ukraine, Russia, Soviet Union, KGB, Nazis & War",Serhii Plokhy,https://lexfridman.com/serhii-plokhy
414,https://lexfridman.com/files/thumbs_ai_podcast/tucker_carlson.png,"Putin, Navalny, Trump, CIA, NSA, War, Politics & Freedom",Tucker Carlson,https://lexfridman.com/tucker-carlson
